city,zipcode,avg_house_price,number_of_schools,population,poverty_count,median_household_income,poverty_rate
Fayetteville,28312,210699.8843537415,4,19196.0,3435.0,44683.0,17.894352990206293
Fayetteville,28314,155511.268707483,6,58110.0,9818.0,47873.0,16.89554293581139
Ferguson,28624,137279.4356846473,1,1339.0,300.0,32432.0,22.404779686333086
Flat Rock,28731,471416.5816326531,2,8354.0,792.0,55611.0,9.480488388795786
Fletcher,28732,291163.7180451128,2,17479.0,1305.0,59993.0,7.466102179758567
Forest City,28043,132558.08843537414,7,21075.0,5102.0,35484.0,24.208778173190986
Four Oaks,27524,175096.38970588235,3,13916.0,2157.0,48052.0,15.500143719459613
Franklinton,27525,200032.96598639456,5,14323.0,2295.0,51570.0,16.02317950150108
Franklinville,27248,124749.67719298246,2,4249.0,396.0,44832.0,9.319839962344082
Fremont,27830,138273.08843537414,2,4841.0,834.0,44366.0,17.227845486469736
Fuquay Varina,27526,250377.66326530612,6,47425.0,4218.0,76880.0,8.894043226146547
Garner,27529,232556.25342465754,12,48833.0,5650.0,60801.0,11.570044846722503
Gaston,27832,148869.261682243,5,3001.0,507.0,36089.0,16.89436854381873
Gastonia,28052,121953.31868131868,13,35302.0,9109.0,36243.0,25.80307064755538
Gastonia,28054,169453.58974358975,7,37335.0,5830.0,43422.0,15.615374313646713
Gastonia,28056,237693.7912087912,5,34401.0,4085.0,63563.0,11.87465480654632
Gates,27937,125038.85245901639,1,4546.0,629.0,56523.0,13.836339639243292
Gatesville,27938,133714.34065934067,3,1261.0,47.0,47273.0,3.7272006344171293
Germanton,27019,169170.17346938775,1,4139.0,267.0,57075.0,6.45083353467021
Gibson,28343,108832.86413043478,1,1404.0,315.0,39531.0,22.435897435897438
Gibsonville,27249,195785.09523809524,3,12447.0,1961.0,54516.0,15.754800353498835
Gold Hill,28071,206919.43295019158,1,2649.0,412.0,43551.0,15.553038882597207
Goldsboro,27530,169701.03741496598,14,38865.0,9883.0,36283.0,25.42904927312492
Goldsboro,27534,191197.10204081633,8,32233.0,3971.0,48270.0,12.31967238544349
Goldston,27252,216048.59615384616,1,2509.0,492.0,51854.0,19.609406137903548
Graham,27253,220756.28787878787,11,30544.0,5421.0,44902.0,17.748166579360923
Granite Falls,28630,200056.45419847328,6,20007.0,3167.0,50190.0,15.829459689108813
Greensboro,27301,176677.9693877551,4,8826.0,734.0,62490.0,8.316338092000906
Greensboro,27401,134183.6156462585,11,22105.0,4033.0,35153.0,18.24474100882153
Greensboro,27403,254135.80272108843,4,22569.0,5026.0,45566.0,22.269484691390844
Greensboro,27405,137483.48979591837,12,48990.0,12116.0,36462.0,24.731577873035313
Greensboro,27406,171960.30952380953,17,63465.0,14973.0,41097.0,23.592531316473647
Greensboro,27407,198833.28231292518,7,50288.0,8412.0,48127.0,16.727648743238944
Greensboro,27408,322231.0442176871,7,18090.0,1797.0,63965.0,9.933665008291873
Greensboro,27409,205239.18707482994,3,17532.0,2237.0,41455.0,12.759525439196898
Greensboro,27410,243265.59863945577,12,55519.0,4518.0,65755.0,8.137754642554802
Greensboro,27455,318731.84013605444,6,29020.0,1968.0,73263.0,6.7815299793246036
Greenville,27834,192180.58375634518,10,56458.0,15413.0,36360.0,27.299939778242234
Greenville,27858,244387.34517766497,9,59652.0,15047.0,44751.0,25.224636223429226
Grifton,28530,125849.12313432836,1,6457.0,1111.0,36357.0,17.206132879045995
Grimesland,27837,250008.36040609138,1,6463.0,1118.0,70453.0,17.298468203620608
Grover,28073,117778.91496598639,1,5366.0,836.0,39971.0,15.579575102497204
Halifax,27839,91212.25510204081,2,3503.0,406.0,31051.0,11.590065658007422
Hamlet,28345,80117.09465020576,5,12107.0,3188.0,34918.0,26.33187412240852
Hampstead,28443,306785.6989247312,5,22138.0,1933.0,64317.0,8.731592736471226
Hamptonville,27020,152321.0218579235,1,5717.0,990.0,39012.0,17.316774532097252
Harkers Island,28531,386564.0170068027,1,1361.0,181.0,51111.0,13.299044819985307
Harmony,28634,172120.78879310345,1,5230.0,1047.0,46447.0,20.019120458891013
Harrisburg,28075,255863.2142857143,4,18621.0,827.0,99075.0,4.441222275925031
Havelock,28532,138939.06462585033,9,22205.0,2741.0,50634.0,12.344066651655032
Haw River,27258,232268.80303030304,1,7011.0,862.0,47336.0,12.294965054913707
Hays,28635,134015.3775510204,2,3162.0,637.0,29599.0,20.14547754585705
Henderson,27536,150635.26530612246,7,16421.0,4882.0,29021.0,29.730223494306074
Henderson,27537,141470.14285714287,11,24578.0,4936.0,42363.0,20.08300105785662
Hendersonville,28739,377868.3469387755,1,21474.0,2160.0,53965.0,10.05867560771165
Hendersonville,28791,313462.73979591834,5,14954.0,1160.0,53964.0,7.757121840310285
Hendersonville,28792,247475.16836734695,9,34945.0,5441.0,45629.0,15.570181714122192
Hertford,27944,273033.77966101695,2,11969.0,1862.0,46240.0,15.556855209290669
Hertford,27980,157369.90666666668,1,1758.0,67.0,47946.0,3.8111490329920366
