city,zipcode,avg_house_price,number_of_schools,population,poverty_count,median_household_income,poverty_rate
Mocksville,27028,90772.47027027026,9,26044.0,4497.0,48167.0,17.2669328828137
Moncure,27559,157163.79347826086,1,2225.0,153.0,68264.0,6.876404494382022
Monroe,28110,125632.52592592593,13,53520.0,7503.0,57969.0,14.019058295964125
Monroe,28112,112899.77323420074,10,26999.0,3806.0,52745.0,14.096818400681506
Mooresboro,28114,45149.8353909465,1,7139.0,1588.0,38944.0,22.24401176635383
Mooresville,28115,97938.86617100371,12,37023.0,3765.0,62252.0,10.169354185236203
Mooresville,28117,159412.58801498127,7,39278.0,2376.0,85591.0,6.0491878405214115
Moravian Falls,28654,87100.89530685921,2,3100.0,261.0,45081.0,8.419354838709678
Morehead City,28557,134307.05782312926,6,15204.0,1663.0,54528.0,10.937911076032623
Morrisville,27560,162809.29963898918,3,32801.0,2020.0,93440.0,6.158348830828329
Mount Airy,27030,67446.61956521739,11,35843.0,6440.0,36859.0,17.967246045252907
Mount Airy,27053,81022.13229571984,2,2973.0,345.0,44967.0,11.60443995963673
Mount Holly,28120,94612.19413919414,5,21119.0,2111.0,56234.0,9.99573843458497
Mount Pleasant,28124,112773.95918367348,3,6192.0,514.0,59167.0,8.301033591731265
Mount Ulla,28125,131626.7196969697,2,2262.0,161.0,63603.0,7.117595048629531
Moyock,27958,144242.07482993198,2,10988.0,745.0,84575.0,6.780123771386967
Nags Head,27959,234977.45360824742,2,2908.0,238.0,58803.0,8.184319119669876
Nashville,27856,80646.67934782608,3,16488.0,2308.0,52729.0,13.998059194565746
Nebo,28761,122239.22549019608,1,7671.0,1145.0,37889.0,14.926345978360056
New Bern,28560,79274.11224489796,5,27590.0,5108.0,46133.0,18.51395433127945
New Bern,28562,88728.53401360544,8,38598.0,3744.0,57592.0,9.699984455153118
Newport,28570,124024.109375,5,21590.0,2585.0,51569.0,11.973135710977305
Newton,28658,75873.69727891157,9,27479.0,3471.0,46977.0,12.63146402707522
North Wilkesboro,28659,69106.18861209965,4,21229.0,5178.0,33832.0,24.391163031701918
Norwood,28128,78360.65986394558,4,7056.0,883.0,45689.0,12.514172335600907
Oak Ridge,27310,115593.43537414966,1,7290.0,153.0,117039.0,2.0987654320987654
Oakboro,28129,90621.96598639456,2,5287.0,433.0,50609.0,8.189899754113863
Old Fort,28762,110325.11764705883,1,6958.0,1546.0,37845.0,22.219028456453003
Olin,28660,124642.61471861471,2,1878.0,162.0,45165.0,8.626198083067091
Orrum,28369,35943.21212121212,1,2865.0,764.0,29848.0,26.666666666666668
Oxford,27565,84215.74489795919,10,25375.0,3947.0,47056.0,15.554679802955665
Parkton,28371,52176.48818897638,1,7249.0,1331.0,50523.0,18.361153262518968
Pembroke,28372,43716.59090909091,5,14022.0,3627.0,29399.0,25.866495507060332
Pendleton,27862,32187.48214285714,1,649.0,124.0,37500.0,19.106317411402156
Pikeville,27863,67843.63398692811,3,12855.0,1560.0,56724.0,12.135355892648775
